"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Felix Hernandez\hernafe02","SEA",167,21,"85%",7.2,13,12,0.52,2.27,34,34,0,6,1,0,249.2,194,80,63,17,70,1,232,8,1,14,1001,1.057,174
2,"David Price\priceda01","TBR",111,4,"57%",4.7,19,6,0.76,2.72,32,31,0,2,1,0,208.2,170,71,63,15,79,1,188,5,3,5,861,1.193,144
3,"CC Sabathia\sabatc.01","NYY",102,3,"52%",4.8,21,7,0.75,3.18,34,34,0,2,0,0,237.2,209,92,84,20,74,6,197,7,1,8,970,1.191,136
4,"Jon Lester\lestejo01","BOS",33,0,"17%",5.2,19,9,0.679,3.25,32,32,0,2,0,0,208,167,81,75,14,83,0,225,10,0,6,861,1.202,134
5,"Jered Weaver\weaveje02","LAA",24,0,"12%",5.2,13,12,0.52,3.01,34,34,0,0,0,0,224.1,187,83,75,23,54,0,233,0,1,7,905,1.074,132
6,"Clay Buchholz\buchhcl01","BOS",20,0,"10%",5.6,17,7,0.708,2.33,28,28,0,1,1,0,173.2,142,55,45,9,67,1,120,5,1,7,711,1.203,187
7,"Cliff Lee\leecl02","TOT",6,0,"3%",5.1,12,9,0.571,3.18,28,28,0,7,1,0,212.1,195,84,75,16,18,2,185,1,1,3,843,1.003,133
8,"Rafael Soriano\soriara01","TBR",5,0,"3%",2.1,3,2,0.6,1.73,64,0,56,0,0,45,62.1,36,14,12,4,14,2,57,1,0,0,237,0.802,226
9,"Trevor Cahill\cahiltr01","OAK",4,0,"2%",3.9,18,8,0.692,2.97,30,30,0,1,1,0,196.2,155,73,65,19,63,1,118,6,2,2,783,1.108,138
10,"Joakim Soria\soriajo01","KCR",2,0,"1%",3.7,1,2,0.333,1.78,66,0,56,0,0,43,65.2,53,13,13,4,16,1,71,2,1,3,270,1.051,236
11,"Francisco Liriano\liriafr01","MIN",1,0,"1%",4.2,14,10,0.583,3.62,31,31,0,0,0,0,191.2,184,77,77,9,58,0,201,10,1,10,806,1.263,112
11,"Justin Verlander\verlaju01","DET",1,0,"1%",4.5,18,9,0.667,3.37,33,33,0,4,0,0,224.1,190,89,84,14,71,0,219,6,2,11,925,1.163,124
